dataset_id,text_id,input
inspec,dev_1461,adaptive multiresolution approach for solution of hyperbolic pdes. this paper establishes an innovative and efficient multiresolution adaptive approach combined with high resolution methods for the numerical solution of a single or a system of partial differential equations. the proposed methodology is unconditionally bounded even for hyperbolic equations and dynamically adapts the grid so that higher spatial resolution is automatically allocated to domain regions where strong gradients are observed thus possessing the two desired properties of a numerical approach stability and accuracy. numerical results for five test problems are presented which clearly show the robustness and cost effectiveness of the proposed method.
inspec,dev_1462,non linear analysis of nearly saturated porous media theoretical and numerical formulation. a formulation for a porous medium saturated with a compressible fluid undergoing large elastic and plastic deformations is presented. a consistent thermodynamic formulation is proposed for the two phase mixture problem thus preserving a straightforward and robust numerical scheme. a novel feature is the specification of the fluid compressibility in terms of a volumetric logarithmic strain which is energy conjugated to the fluid pressure in the entropy inequality. as a result the entropy inequality is used to separate three different mechanisms representing the response effective stress response according to terzaghi in the solid skeleton fluid pressure response to compressibility of the fluid and dissipative darcy flow representing the interaction between the two phases. the paper is concluded with a couple of numerical examples that display the predictive capabilities of the proposed formulation. in particular we consider results for the kinematically linear theory as compared to the kinematically non linear theory.
inspec,dev_1463,computational complexity of probabilistic disambiguation. recent models of natural language processing employ statistical reasoning for dealing with the ambiguity of formal grammars. in this approach statistics concerning the various linguistic phenomena of interest are gathered from actual linguistic data and used to estimate the probabilities of the various entities that are generated by a given grammar e g derivations parse trees and sentences. the extension of grammars with probabilities makes it possible to state ambiguity resolution as a constrained optimization formula which aims at maximizing the probability of some entity that the grammar generates given the input e g maximum probability parse tree given some input sentence. the implementation of these optimization formulae in efficient algorithms however does not always proceed smoothly. in this paper we address the computational complexity of ambiguity resolution under various kinds of probabilistic models. we provide proofs that some frequently occurring problems of ambiguity resolution are np complete. these problems are encountered in various applications e g language understanding for textand speech based applications. assuming the common model of computation this result implies that for many existing probabilistic models it is not possible to devise tractable algorithms for solving these optimization problems.
inspec,dev_1464,lr parsing for conjunctive grammars. the generalized lr parsing algorithm for context free grammars introduced by tomita in 1986 is a polynomial time implementation of nondeterministic lr parsing that uses graph structured stack to represent the contents of the nondeterministic parser s pushdown for all possible branches of computation at a single computation step. it has been specifically developed as a solution for practical parsing tasks arising in computational linguistics and indeed has proved itself to be very suitable for natural language processing. conjunctive grammars extend context free grammars by allowing the use of an explicit intersection operation within grammar rules. this paper develops a new lr style parsing algorithm for these grammars which is based on the very same idea of a graph structured pushdown where the simultaneous existence of several paths in the graph is used to perform the mentioned intersection operation. the underlying finite automata are treated in the most general way instead of showing the algorithm s correctness for some particular way of constructing automata the paper defines a wide class of automata usable with a given grammar which includes not only the traditional lr k automata but also for instance a trivial automaton with a single reachable state. a modification of the slr k table construction method that makes use of specific properties of conjunctive grammars is provided as one possible way of making finite automata to use with the algorithm.
inspec,dev_1465,p systems with symport antiport rules the traces of objects. we continue the study of those p systems where the computation is performed by the communication of objects that is systems with symport and antiport rules. instead of the number of objects collected in a specified membrane as the result of a computation we consider the itineraries of a certain object through membranes during a halting computation written as a coding of the string of labels of the visited membranes. the family of languages generated in this way is investigated with respect to its place in the chomsky hierarchy. when the symport and antiport rules are applied in a conditional manner promoted or inhibited by certain objects which should be present in the membrane where a rule is applied then a characterization of recursively enumerable languages is obtained the power of systems with the rules applied freely is only partially described.
inspec,dev_1466,feldkamp type image reconstruction from equiangular data. the cone beam approach for image reconstruction attracts increasing attention in various applications especially medical imaging. previously the traditional practical cone beam reconstruction method the feldkamp algorithm was generalized into the case of spiral helical scanning loci with equispatial cone beam projection data. in this paper we formulated the generalized feldkamp algorithm in the case of equiangular cone beam projection data and performed numerical simulation to evaluate the image quality. because medical multi slice cone beam ct scanners typically use equiangular projection data our new formula may be useful in this area as a framework for further refinement and a benchmark for comparison.
inspec,dev_1467,utilizing web based case studies for cutting edge information services issues. this article reports on a pilot study conducted by the academic libraries of the 21st century project team to determine whether the benefits of the case study method as a training framework for change initiatives could successfully transfer from the traditional face to face format to a virtual format. methods of developing the training framework as well as the benefits challenges and recommendations for future strategies gained from participant feedback are outlined. the results of a survey administered to chat session registrants are presented in three sections 1 evaluation of the training framework 2 evaluation of participants experiences in the virtual environment and 3 a comparison of participants preference of format. the overall participant feedback regarding the utilization of the case study method in a virtual environment for professional development and collaborative problem solving is very positive.
inspec,dev_1468,developing web enhanced learning for information fluency a liberal arts college s perspective. learning is likely to take a new form in the twenty first century and a transformation is already in process. under the framework of information fluency efforts are being made at rollins college to develop a web enhanced course that encompasses information literacy basic computer literacy and critical thinking skills. computer based education can be successful when librarians use technology effectively to enhance their integrated library teaching. in an online learning environment students choose a time for learning that best suits their needs and motivational levels. they can learn at their own pace take a nonlinear approach to the subject and maintain constant communication with instructors and other students. the quality of a technology facilitated course can be upheld if the educational objectives and methods for achieving those objectives are carefully planned and explored.
inspec,dev_1469,the necessity of real time fact and fiction in digital reference systems. current discussions and trends in digital reference have emphasized the use of real time digital reference services. recent articles have questioned both the utility and use of asynchronous services such as e mail. this article uses data from the askeric digital reference service to demonstrate that asynchronous services are not only useful and used but may have greater utility than real time systems.
inspec,dev_147,embedded linux and the law. the rising popularity of linux combined with perceived cost savings has spurred many embedded developers to consider a real time linux variant as an alternative to a traditional rtos. the paper presents the legal implications for the proprietary parts of firmware.
