dataset_id,subset_id,text_id,output
inspec,controlled,dev_1461,hyperbolic equations;numerical stability;partial differential equations
inspec,controlled,dev_1462,compressibility;elastic deformation;finite element analysis;mechanical engineering computing;plastic deformation;porous materials;thermodynamics
inspec,controlled,dev_1463,computational complexity;grammars
inspec,controlled,dev_1464,computational linguistics;context free grammars;context free languages;pushdown automata
inspec,controlled,dev_1465,computational linguistics;grammars
inspec,controlled,dev_1466,computerised tomography;image reconstruction;medical image processing
inspec,controlled,dev_1467,academic libraries;computer based training;information resources;internet;library automation
inspec,controlled,dev_1468,computer literacy;educational computing;information resources;information science;internet
inspec,controlled,dev_1469,digital libraries;electronic mail;information services;real time systems
inspec,controlled,dev_147,embedded systems;firmware;industrial property;operating systems computers;public domain software;real time systems
inspec,controlled,dev_1470,information resources;information science;internet;library automation
inspec,controlled,dev_1471,electronic commerce;information resources;internet
inspec,controlled,dev_1472,human factors;rendering computer graphics;three dimensional displays
inspec,controlled,dev_1473,graphical user interfaces;human factors
inspec,controlled,dev_1474,human factors;vision defects;visual perception
inspec,controlled,dev_1475,human factors;road vehicles;visual perception
inspec,controlled,dev_1476,human factors;man machine systems;social aspects of automation
inspec,controlled,dev_1477,ergonomics;factory automation;human factors;large scale systems;user interfaces
inspec,controlled,dev_1478,electromyography;ergonomics;human factors;man machine systems
inspec,controlled,dev_1479,automatic test equipment;human factors;large scale systems;probability;reliability
inspec,controlled,dev_148,decidability;temporal logic
inspec,controlled,dev_1480,aircraft control;formal verification;human factors;man machine systems;user interfaces
inspec,controlled,dev_1481,aircraft displays;human factors;man machine systems
inspec,controlled,dev_1482,hilbert spaces;optimal control;partial differential equations
inspec,controlled,dev_1483,cobol;software engineering;software maintenance
inspec,controlled,dev_1484,costing;fluctuations;investment;magnetisation;matrix algebra;optimisation;random processes;risk management;spin glasses;stock markets
inspec,controlled,dev_1485,bone;diagnostic radiography;neurophysiology;orthopaedics;radiology;surgery;telemedicine
inspec,controlled,dev_1486,eye;medical image processing;microcomputer applications;telemedicine;video cameras;video databases;video signal processing
inspec,controlled,dev_1487,electrocardiography;medical diagnostic computing;medical signal processing;patient diagnosis;telemedicine
inspec,controlled,dev_1488,biomedical communication;patient care;social aspects of automation;teleconferencing;telemedicine
